server_name,season,discord_id,username,combined_rank,combined_mmr,combined_games_played_pct,combined_wins,combined_losses,combined_win_pct,crewmate_rank,crewmate_mmr,crewmate_games_played_pct,crewmate_wins,crewmate_losses,crewmate_win_pct,impostor_rank,impostor_mmr,impostor_games_played_pct,impostor_wins,impostor_losses,impostor_win_pct
5UP Community,1,355550706369036288,.roobi,41,952,100,29,14,67,33,1018,79,27,7,79,58,885,21,2,7,22
5UP Community,1,393114976228999179,100k,144,809,100,8,4,67,92,936,83,8,2,80,269,682,17,0,2,0
5UP Community,1,801236633029574657,125.5,26,989,100,32,15,68,27,1040,79,29,8,78,32,938,21,3,7,30
5UP Community,1,662549565060415518,13Letters,69,902,100,23,16,59,31,1020,79,22,9,71,130,784,21,1,7,13
5UP Community,1,871067955998380052,29 39,239,732,100,2,2,50,235,765,100,2,2,50,151,700,0,0,0,0
5UP Community,1,476202063387295745,9catowesme$700 [𝙛𝙭] (lexmade),1,1019,100,34,14,71,45,996,79,29,9,76,6,1042,21,5,5,50
5UP Community,1,282331062003040266,aegislash714,304,651,100,0,4,0,305,603,100,0,4,0,151,700,0,0,0,0
5UP Community,1,664219598383611916,Aki (BetterthanIAMDEAD),126,827,100,11,6,65,56,980,76,11,2,85,285,673,24,0,4,0
5UP Community,1,567788277235712001,alesha,164,795,100,5,2,71,119,906,71,5,0,100,256,684,29,0,2,0
5UP Community,1,301856315272331267,Andrecio,253,716,100,2,6,25,239,756,63,2,3,40,283,676,38,0,3,0
5UP Community,1,179474767152152576,Anonymous0726,231,737,100,10,11,48,205,808,81,10,7,59,295,665,19,0,4,0
5UP Community,1,702355064769085470,Antreus,178,784,100,9,6,60,125,901,80,9,3,75,289,667,20,0,3,0
5UP Community,1,230316889069322241,apex_legends,60,911,100,18,12,60,70,958,70,16,5,76,60,864,30,2,7,22
5UP Community,1,819697731688726589,Arab,51,932,100,68,38,64,40,1001,83,65,23,74,61,863,17,3,15,17
5UP Community,1,136183096151113728,Asim,90,870,100,38,34,53,180,824,82,35,24,59,43,917,18,3,10,23
5UP Community,1,930551718847066152,Aster,53,928,100,17,9,65,210,799,85,13,9,59,4,1058,15,4,0,100
5UP Community,1,607299023648325642,Avi,151,802,100,8,4,67,123,903,83,8,2,80,147,700,17,0,2,0
5UP Community,1,1004369736806703115,azlect,132,818,100,11,4,73,88,941,93,11,3,79,214,695,7,0,1,0
5UP Community,1,940910501645406218,a!ko [𝙛𝙭] #JuvenLoveAlways,101,857,100,18,13,58,121,905,84,17,9,65,117,809,16,1,4,20
5UP Community,1,607439948303564801,Baki (they/them),183,780,100,18,14,56,117,908,78,18,7,72,302,651,22,0,7,0
